rNs,mz,mz_lower,mz_upper
AdG,302.0656,302.0626,302.0686
ac4C,320.0649,320.0617,320.0681
AMPdGMP,346.0552,346.0517,346.0587
C,242.0777,242.0753,242.0801
ca5dC,270.0726,270.0699,270.0753
CTP,481.9772,481.9724,481.982
dCTP,465.9817,465.977,465.9864
dITP,490.977,490.9721,490.9819
dT,277.0591,277.0563,277.0619
dTTP,480.9814,480.9766,480.9862
dUTP,466.9658,466.9611,466.9705
GMP,362.0502,362.0466,362.0538
GTP,521.9828,521.9776,521.988
hm5CTP,511.9872,511.9821,511.9923
ITP,506.9719,506.9668,506.977
m22G,310.1151,310.112,310.1182
m5dCTP,479.9974,479.9926,480.0022
mAMP,360.0709,360.0673,360.0745
m6dATP,504.0086,504.0036,504.0136
mCMPhm5dCMP,336.0597,336.0563,336.0631
mCTPhm5dCTP,531.969,531.9637,531.9743
mU,257.0773,257.0747,257.0799
UpseudoU,243.0617,243.0593,243.0641
UMPpseudoUMP,323.028,323.0248,323.0312
UTPpseudoUTP,482.9607,482.9559,482.9655
