rNs,mz,mz_lower,mz_upper
CMP,362.0145,362.0109,362.0181
dA,252.1086,252.1061,252.1111
dAMP,354.0568,354.0533,354.0603
dC,266.0533,266.0506,266.056
dCMP,325.0902,325.0869,325.0935
dI,291.0485,291.0456,291.0514
dTMP,345.0453,345.0418,345.0488
f5dC,255.0844,255.0818,255.087
f5dCTP,513.0178,513.0127,513.0229
G,306.0803,306.0772,306.0834
I,307.0434,307.0403,307.0465
m5dC,280.0689,280.0661,280.0717
m6Am,296.1348,296.1318,296.1378
m6dA,266.1242,266.1215,266.1269
mA,282.1192,282.1164,282.122
mChm5dC,296.0638,296.0608,296.0668
mG,298.1141,298.1111,298.1171
